proc,green,blue,grey
AGR,1368.212758,128.1779201,240.1139042
BEET,100,13,18
CER,3676.108985,210.3486178,1293.305683
CHERRY,1343.027777,154.3941316,201.7315202
D_WHEAT,996.6602319,23.19179161,172.2029545
C_WHEAT,996.6602319,23.19179161,172.2029545
FRUIT,10508.65919,889.0989748,132.1247638
SUNFL,1595.146147,130.9344591,310.7547555
KIWI,,,
PROT,7898.550535,,97.20662603
MAIZE,368.214509,158.7786881,160.439493
ALFA,8021.710964,641.6590451,697.1744016
MEP,454.4207175,52.23856062,68.25697459
SILAGE,368.214509,158.7786881,160.439493
NET,320.4624654,34.03006571,49.54911366
OIL,10829.75264,685.7347539,13.29224642
OLIV,1417.84028,116.8424772,2.611768041
VEG,2910.657977,816.1403511,569.3087504
BARLEY,996.6602319,23.19179161,172.2029545
POTATO,371.7488779,86.89639058,31.45930899
TOMATO,58.86889663,32.86228716,11.85424429
GRAZ,8021.710964,449.1613316,488.0220811
RICE,511.5297829,562.5406503,
SOJA,1115.718884,221.77,2.873790044
SORG,602.5664846,,228.248388
TOB,747.9912012,,9.074430802
GRAPE,501.7650155,56.5489895,108.4540829
FRG,8021.710964,641.6590451,697.1744016
MILK,626,77,102
ORG_AGR,1368.212758,128.1779201,240.1139042
ORG_BEET,100,13,18
ORG_CER,3676.108985,210.3486178,1293.305683
ORG_CHERRY,1343.027777,154.3941316,201.7315202
ORG_D_WHEAT,996.6602319,23.19179161,172.2029545
ORG_C_WHEAT,996.6602319,23.19179161,172.2029545
ORG_FRUIT,10508.65919,889.0989748,132.1247638
ORG_SUNFL,1595.146147,130.9344591,310.7547555
ORG_KIWI,,,
ORG_PROT,7898.550535,,97.20662603
ORG_MAIZE,368.214509,158.7786881,160.439493
ORG_ALFA,8021.710964,641.6590451,697.1744016
ORG_MEP,454.4207175,52.23856062,68.25697459
ORG_SILAGE,368.214509,158.7786881,160.439493
ORG_NET,320.4624654,34.03006571,49.54911366
ORG_OIL,10829.75264,685.7347539,13.29224642
ORG_OLIV,1417.84028,116.8424772,2.611768041
ORG_VEG,2910.657977,816.1403511,569.3087504
ORG_BARLEY,996.6602319,23.19179161,172.2029545
ORG_POTATO,371.7488779,86.89639058,31.45930899
ORG_TOMATO,58.86889663,32.86228716,11.85424429
ORG_GRAZ,8021.710964,449.1613316,488.0220811
ORG_RICE,511.5297829,562.5406503,
ORG_SOJA,1115.718884,221.77,2.873790044
ORG_SORG,602.5664846,,228.248388
ORG_TOB,747.9912012,,9.074430802
ORG_GRAPE,501.7650155,56.5489895,108.4540829
ORG_FRG,8021.710964,641.6590451,697.1744016